Type,P,C,J
Snickers,2,5,10
M&M(reg),3,5,7
Whoppers,2,1,5
Kit Kat,1,1,5
3 Musketeers,2,3,
Twix,1,2,2
M&M(pea),1,1,3
Tootsie Rolls,2,,3
Reeses(cup),1,,4
Hersheys,1,,3
MilkyWay,1,,3
generic,,1,3
Reeses(pieces),1,,2
Almond Joy,1,,2
Milk Duds,,1,3
Butterfinger,,2,
Crunch,1,,1
Reeses(fastbreak),,1,
Baby Ruth,,,1
,,,
Starburst,3,6,3
Skittles,5,,6
dum dums,4,4,1
twizzlers,,,7
gudu(sucker),4,,
Goldfish,1,1,2
Bottle Caps,2,1,
fruit snacks,2,,1
jolly rancher (sucker),,,3
kashi bars,,,3
Air heads,1,1,
blow pop,1,1,
dubble bubble,1,1,
peppermint,1,1,
lifesaver (gummy),1,,1
Dots,1,,2
Nerds,,,2
gobstopper,1,,1
smarties,,,2
laffy taffy ,,,2
Sprees,1,,
Sweet tarts,,1,
lifesaver (hard),,1,
Rice Krispies,,1,
pixy stix,,,1
fireball,,,1
Chips,,,2